作答ID,开始时间,结束时间,作答总时长(秒),作答渠道,省份,城市,设备类型,操作系统类型,浏览器类型,质检结果,你的身份是？,请选择你的年龄段,你使用 AI 工具(ChatGPT、Claude、豆包、Kimi、DeepSeek 等)的情况是?,你平时使用本地生活类 App 的频率如何？例如美团、大众点评、高德、小红书等。,你在哪类本地生活选择中最容易纠结？,在这类最容易纠结的选择中，你通常的状态更接近哪一种？,"如果有一个 AI 本地生活管家(能帮你做吃饭、出行、约饭、周末等本地生活决策),最接近你的真实反应是?",你更希望 AI 管家以哪种方式工作？,你平均多久会和朋友 / 同学 / 同事进行一次线下约饭、聚会或一起出行？,你是否经常遇到“和朋友约饭 / 聚会很难定下来”的情况？,"如果下次约饭遇到分歧,你最可能怎么做?",在多人决策中，你更希望 AI 怎么推荐？,AI 生成多人方案后，你是否希望它说明“照顾了谁的偏好、牺牲了什么”？,如果AI 在推荐前自动检查以下内容，你觉得最看重/最不看重哪一项？-最看重,如果AI 在推荐前自动检查以下内容，你觉得最看重/最不看重哪一项？-最不看重,如果 AI 发现推荐方案不满足你的条件，你希望它优先怎么做？,为保证问卷质量，本题请选择特定选项,你是否希望 AI 管家记住你的个人长期偏好？例如不吃辣、预算、人均消费、常去区域等,关于 AI 记录朋友 / 同事 / 小团体偏好，你更能接受哪种方式？,"请你回想最近一次""做本地生活决策很累""的经历,可能是吃饭、约人、规划周末或别的事。请用 1-2 句话描述这件事",school_work_status,school_work_rule
oBowo6ErwR0,2026-05-08 18:10:13,2026-05-08 18:13:49,216,匿名作答,广东省,深圳市,MOBILE,iOS,WeChat,未检测,E. 已工作 1-3 年,23-26 岁,C.每周使用几次，有需要时才用,B. 每周 3-5 次,E. 我基本不纠结,,"E. 不会用,我习惯自己做决定",C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,D. 几乎没有,D. 直接选择最常去、最稳妥的地方,B. 给 2-3 个方案，让大家选,D. 不太希望，觉得解释太多会麻烦,是否排队太久,是否超预算,E. 不需要 AI 主动处理，我会重新提问,满意,C. 看具体记什么,B. 可以记录，但需要每个人自己填写或确认后才能使用,阿狗喜欢讲马，让我很感动。,已工作,明确选择已工作 1-3 年/3 年以上
gnNKNj5ykvl,2026-05-08 17:49:28,2026-05-08 18:09:18,1190,匿名作答,广东省,深圳市,MOBILE,Android,WeChat,未检测,C. 研究生,23-26 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,C. 两者都可以，但主动提醒不能太频繁,E. 几乎没有,D. 几乎没有,其他：_____,E. 其他：______,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否有人的需求被明显牺牲,B. 主动追问缺失信息后再修改,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,饭点吃什么，看什么动漫,在校,23-26 岁 + 研究生/博士生
vN62vwO8mbn,2026-05-08 17:52:06,2026-05-08 17:55:28,202,匿名作答,福建省,泉州市,MOBILE,Android,WeChat,未检测,E. 已工作 1-3 年,23-26 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,B. 它可以在合适时间主动提醒我,D. 很少,C. 很少,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否太远,是否排队太久,B. 主动追问缺失信息后再修改,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,,已工作,明确选择已工作 1-3 年/3 年以上
gnNKYBGjxEk,2026-05-08 16:35:09,2026-05-08 16:47:39,750,数据集市,江西省,南昌市,COMPUTER,Windows,Chrome,正常,F. 已工作 3 年以上,30 岁以上,C.每周使用几次，有需要时才用,C. 每周 1-2 次,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否太远,是否有人的需求被明显牺牲,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,周末和老婆规划附近游玩，并且有美食挑选,已工作,明确选择已工作 1-3 年/3 年以上
Q4wKrEvblwQ,2026-05-08 16:39:23,2026-05-08 16:46:59,456,数据集市,江苏省,苏州市,MOBILE,Android,Chrome,正常,E. 已工作 1-3 年,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否超预算,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,吃的晚饭的时候不知道吃什么现在各个软件之间来回切换寻找，很浪费时间,已工作,明确选择已工作 1-3 年/3 年以上
gnNKAq6RkN8,2026-05-08 16:35:32,2026-05-08 16:43:41,489,数据集市,广东省,揭阳市,COMPUTER,Windows,Chrome,正常,E. 已工作 1-3 年,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,D. 很少,C. 很少,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,C. 无所谓，有没有都可以,是否超预算,是否排队太久,D. 给出几个不完美但可选的备选方案,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,本地周末玩但是规划一天具体安排比较麻烦，不知道目的地附近有什么好吃的，上网查询了但是信息比较少。,已工作,明确选择已工作 1-3 年/3 年以上
XO2Kgbml39o,2026-05-08 16:34:24,2026-05-08 16:40:13,349,数据集市,河南省,郑州市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,18-22 岁,C.每周使用几次，有需要时才用,C. 每周 1-2 次,A. 一个人吃什么/点什么外卖,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,A. 我问它，它再回答,C. 每月 1-3 次,C. 很少,C. 让最积极 / 最熟悉的人来决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否排队太久,是否太远,A. 自动重新生成更符合条件的方案,满意,D. 不太希望,C. 可以记录，但我希望能随时查看、修改或删除,有一次我想去约我的室友去吃饭，距离用餐的地点大约约5公里左右，但是他们都不想去那么远的地方，定找别的餐厅聚餐，那个地方其实我看博主推荐想去好久了，结果因为距离原因，最后没有去成。,在校,18-22 岁 + 专科/本科生
mnGX3mEwEyA,2026-05-08 16:34:14,2026-05-08 16:40:12,358,数据集市,天津市,市辖区,MOBILE,iOS,Apple WebKit,正常,B. 本科生,18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,B. 和朋友约饭 / 聚会地点,B. 需要比较多个 App 或问朋友后才能决定,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,B. 比较希望，但简单说明即可,是否排队太久,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,订酒店不知道选什么，看了很久最后才决定,在校,18-22 岁 + 专科/本科生
bNxKOGWa5zy,2026-05-08 16:34:25,2026-05-08 16:40:10,345,数据集市,湖北省,武汉市,MOBILE,Android,WeChat,正常,D.博士生,27-30 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否太远,B. 主动追问缺失信息后再修改,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,周五晚上和朋友一起出去吃饭，但是大家都没有明确的偏好，因此没有人推荐餐厅，陷入僵局,在校,27-30 岁 + 博士生
NRYK1Qldaxz,2026-05-08 16:35:02,2026-05-08 16:40:00,298,数据集市,河南省,郑州市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,A. 一个人吃什么/点什么外卖,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,B. 比较希望，但简单说明即可,是否超预算,是否排队太久,C. 直接告诉我哪里不满足，由我决定是否调整,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,跟朋友出去去吃饭要考虑他喜欢的我喜欢的然后折中商量感觉很累,在校,18-22 岁 + 专科/本科生
