作答ID,text,themes
oBowo6ErwR0,阿狗喜欢讲马，让我很感动。,其他具体经历
gnNKNj5ykvl,饭点吃什么，看什么动漫,不知道吃什么/选店困难
vN62vwO8mbn,,未填写
gnNKYBGjxEk,周末和老婆规划附近游玩，并且有美食挑选,路线/距离/时间安排
Q4wKrEvblwQ,吃的晚饭的时候不知道吃什么现在各个软件之间来回切换寻找，很浪费时间,不知道吃什么/选店困难；信息过载/多 App 切换；路线/距离/时间安排
gnNKAq6RkN8,本地周末玩但是规划一天具体安排比较麻烦，不知道目的地附近有什么好吃的，上网查询了但是信息比较少。,路线/距离/时间安排
XO2Kgbml39o,有一次我想去约我的室友去吃饭，距离用餐的地点大约约5公里左右，但是他们都不想去那么远的地方，定找别的餐厅聚餐，那个地方其实我看博主推荐想去好久了，结果因为距离原因，最后没有去成。,不知道吃什么/选店困难；多人约饭/意见冲突；路线/距离/时间安排
mnGX3mEwEyA,订酒店不知道选什么，看了很久最后才决定,路线/距离/时间安排
bNxKOGWa5zy,周五晚上和朋友一起出去吃饭，但是大家都没有明确的偏好，因此没有人推荐餐厅，陷入僵局,不知道吃什么/选店困难；多人约饭/意见冲突
NRYK1Qldaxz,跟朋友出去去吃饭要考虑他喜欢的我喜欢的然后折中商量感觉很累,不知道吃什么/选店困难；多人约饭/意见冲突
XO2Km21EW8D,有些人的口味不同,多人约饭/意见冲突
oBowxDgB02n,吃饭不懂吃什么，特别是周末的时候。,不知道吃什么/选店困难；路线/距离/时间安排
vN62BvrXkrV,五一期间和家人商量去哪里游玩，老婆想去观景的地方，我想去能带孩子游玩的地方，因此而纠结。,路线/距离/时间安排
bNxK8XGr8dk,上周假期期间，和朋友约饭，光是确定吃什么就花了好几个小时，在火锅，炒菜，烧烤翻来覆去看，每个人都有自己的想法和忌口，在各种app上看了一遍又一遍，最后还是随便选了一家，感觉心累。,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换
bNxKZ6N4Dry,我跟朋友约好出去吃饭，但不知道吃什么，非常纠结,不知道吃什么/选店困难；多人约饭/意见冲突
nNV3y4jm48N,下班了想找地方吃饭，翻看了大量评论，对比了很多家菜品，反复纠结，花了很久的时间才选择出要吃饭的地方,不知道吃什么/选店困难；信息过载/多 App 切换；路线/距离/时间安排
XO2KvV58oKB,上周约朋友去吃饭，两个人都不知道吃什么，在做选择时犹豫了很久，后面通过网络平台搜索了一家店铺去试了试,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换
Q4wKRlDjqOq,今天晚上吃什么就很头疼,不知道吃什么/选店困难
Q4wK6gpZxa4,上周和朋友约吃饭，在平台对比了多家店铺口味和位置，讨论了一个小时才定好餐厅，觉得很耗精力，心很累。,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换
nNV3EWO6qQn,我规划周末路线的时候，会需要经常切换app就会觉得很累。因为要看路线，也要看景点评分，餐厅的位置等等，就会感觉很累。,不知道吃什么/选店困难；信息过载/多 App 切换；路线/距离/时间安排
bNxKjZG9kAd,？这个周末回老家由于没开车，对乘坐的交通工具和路线很纠结,路线/距离/时间安排
lxEYBZmywR9,有一次中午下班后不想一个人做饭，就想点份外卖。但翻过来翻过去感觉不是口味不合适就是价格太贵，一直纠结了半个多小时后才定下来,不知道吃什么/选店困难；多人约饭/意见冲突；执行不确定/约束检查
